department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
Operations,region_5,Bachelors,m,sourcing,1,34,3,3,1,0,58,N
Analytics,region_32,Bachelors,m,sourcing,1,42,5,11,1,0,89,N
Sales & Marketing,region_12,Bachelors,m,sourcing,1,40,5,7,0,0,45,N
Sales & Marketing,region_15,Bachelors,m,sourcing,1,43,4,6,0,0,53,N
Sales & Marketing,region_17,Bachelors,m,other,1,40,3,10,0,0,46,N
Sales & Marketing,region_7,Master & above,m,other,3,31,1,6,0,0,46,N
Operations,region_7,Bachelors,m,other,1,48,3,3,0,0,74,Y
Operations,region_2,Bachelors,f,sourcing,2,38,5,4,0,0,58,N
Technology,region_17,Bachelors,m,other,1,31,3,3,1,0,81,Y
Procurement,region_2,Bachelors,m,sourcing,1,25,4,2,1,0,62,N
Operations,region_23,Bachelors,m,other,1,33,3,8,0,0,57,N
Analytics,region_32,Master & above,m,sourcing,1,29,1,3,0,0,84,N
Procurement,region_2,Bachelors,m,other,1,50,5,4,1,0,71,N
Operations,region_27,Bachelors,f,other,1,38,5,5,1,0,60,N
Technology,region_17,Bachelors,f,sourcing,1,30,2,5,0,1,80,Y
Analytics,region_7,Bachelors,m,sourcing,1,35,5,2,0,0,82,N
Technology,region_7,Below Secondary,f,other,1,26,4,3,1,0,79,N
Sales & Marketing,region_7,Bachelors,m,other,1,38,4,3,0,0,48,N
Finance,region_2,Bachelors,m,other,1,45,3,3,0,0,65,N
Sales & Marketing,region_22,Master & above,m,sourcing,1,41,1,7,0,0,51,N
Finance,region_2,Bachelors,m,other,1,40,2,5,0,0,54,N
Operations,region_31,Bachelors,m,other,1,25,2,2,0,0,59,N
Technology,region_2,Bachelors,m,sourcing,1,25,4,2,0,0,82,N
Procurement,region_27,Master & above,m,other,1,33,3,8,0,0,73,N
Technology,region_2,Master & above,f,other,1,51,4,19,1,0,78,N
Legal,region_13,Bachelors,m,other,1,27,4,2,0,0,59,N
Operations,region_22,Master & above,m,other,1,56,5,29,1,0,61,N
Operations,region_7,Bachelors,f,sourcing,1,37,5,9,0,0,60,N
Operations,region_13,Bachelors,m,other,1,45,3,16,0,0,59,N
Finance,region_7,Master & above,f,other,1,34,4,4,0,0,53,N
HR,region_22,Master & above,m,sourcing,1,35,3,10,0,0,50,N
Operations,region_2,Bachelors,m,sourcing,1,59,3,19,0,0,56,N
Sales & Marketing,region_2,Master & above,m,other,1,50,4,7,0,0,46,N
Procurement,region_33,Bachelors,m,other,1,30,5,7,0,0,78,Y
Sales & Marketing,region_30,Bachelors,m,other,1,35,3,9,0,0,54,N
Analytics,region_2,Master & above,m,other,1,52,3,7,1,0,82,Y
Sales & Marketing,region_22,Bachelors,m,referred,1,28,4,3,1,0,50,N
Operations,region_22,Bachelors,m,sourcing,1,27,2,1,0,0,56,N
Technology,region_7,Bachelors,f,sourcing,1,30,5,5,1,0,74,Y
Operations,region_13,Master & above,m,other,1,40,3,9,0,0,62,N
Operations,region_19,Master & above,f,other,1,39,5,7,1,0,60,N
Sales & Marketing,region_2,Master & above,m,sourcing,1,54,3,3,0,0,51,N
Operations,region_22,Bachelors,f,sourcing,1,31,4,5,0,0,60,N
HR,region_2,Master & above,f,sourcing,1,58,5,5,1,0,52,N
Technology,region_16,Master & above,f,other,1,38,5,2,0,0,81,N
Operations,region_2,Bachelors,m,other,2,30,5,4,1,0,60,N
Sales & Marketing,region_30,Bachelors,m,other,1,41,3,10,0,0,50,N
Sales & Marketing,region_2,Bachelors,m,other,1,40,5,11,1,0,52,N
Sales & Marketing,region_28,Bachelors,m,sourcing,1,30,5,4,1,0,48,N
Sales & Marketing,region_2,Master & above,m,referred,1,32,3,4,1,0,51,N
Sales & Marketing,region_2,Bachelors,f,other,1,41,5,14,0,0,49,N
Finance,region_2,Bachelors,f,other,1,29,5,2,1,0,57,Y
Operations,region_32,Bachelors,f,sourcing,1,31,5,3,1,0,61,N
Sales & Marketing,region_17,Bachelors,m,other,1,30,3,5,0,0,50,N
Analytics,region_32,Bachelors,m,other,2,29,2,2,0,0,82,N
Sales & Marketing,region_25,Bachelors,m,sourcing,2,31,2,4,1,0,49,Y
Sales & Marketing,region_2,Bachelors,m,sourcing,1,35,4,10,1,0,53,N
Operations,region_2,Bachelors,f,sourcing,1,34,4,5,1,0,65,N
Sales & Marketing,region_7,Master & above,m,other,1,41,3,6,0,0,47,N
Operations,region_27,Bachelors,f,other,1,36,5,3,1,0,58,N
HR,region_27,Master & above,f,other,1,32,3,7,0,0,53,N
Finance,region_6,Bachelors,f,sourcing,1,26,4,2,1,0,58,N
Analytics,region_29,Bachelors,m,other,1,30,4,2,1,0,89,N
Procurement,region_11,Bachelors,m,other,1,26,3,4,0,0,69,N
Procurement,region_2,Master & above,m,sourcing,1,53,2,9,0,0,69,N
Sales & Marketing,region_12,Bachelors,f,sourcing,1,27,3,2,0,0,49,N
Procurement,region_22,Bachelors,m,sourcing,1,42,3,6,1,0,69,N
Operations,region_34,Bachelors,m,other,1,34,3,3,0,0,63,N
Analytics,region_23,Bachelors,m,other,1,35,3,10,0,0,88,N
Sales & Marketing,region_6,Bachelors,m,other,1,36,1,4,0,0,53,N
Analytics,region_14,Bachelors,m,sourcing,2,34,3,8,0,0,89,N
Operations,region_7,Bachelors,f,sourcing,1,33,3,5,1,1,58,N
Sales & Marketing,region_2,Bachelors,f,sourcing,1,41,5,6,1,0,51,N
Analytics,region_7,Bachelors,m,other,1,30,3,6,0,0,87,N
Sales & Marketing,region_12,Bachelors,m,other,1,31,5,5,0,0,49,N
Sales & Marketing,region_7,Bachelors,m,other,1,31,4,3,1,0,54,Y
Operations,region_7,Master & above,m,sourcing,1,34,4,4,0,0,58,N
Technology,region_2,Master & above,f,sourcing,1,40,1,3,1,0,82,N
Sales & Marketing,region_9,Bachelors,m,other,1,25,1,2,0,0,49,N
Operations,region_22,Bachelors,f,sourcing,2,36,3,7,1,0,60,N
Technology,region_27,Bachelors,f,sourcing,1,31,3,6,0,0,82,N
Sales & Marketing,region_29,Bachelors,m,sourcing,1,28,1,3,0,0,49,N
Technology,region_5,Master & above,m,other,1,44,4,4,0,0,82,N
Analytics,region_2,Bachelors,m,other,1,44,3,6,1,0,83,N
Sales & Marketing,region_2,Master & above,m,sourcing,1,35,5,8,1,0,52,N
Operations,region_27,Bachelors,m,sourcing,1,31,4,2,1,0,56,N
HR,region_10,Bachelors,m,other,1,29,3,8,0,0,52,N
Sales & Marketing,region_31,Bachelors,m,other,1,26,3,2,0,0,47,N
Finance,region_2,Master & above,f,other,2,52,5,23,1,0,56,N
Technology,region_2,Bachelors,m,referred,1,52,4,26,1,0,77,N
Technology,region_15,Bachelors,f,other,3,33,4,3,1,0,78,N
Technology,region_13,Bachelors,m,other,1,27,1,4,0,0,77,N
Sales & Marketing,region_16,Bachelors,m,other,1,37,3,8,0,0,53,N
Sales & Marketing,region_29,Bachelors,m,other,1,29,2,8,1,0,51,N
Sales & Marketing,region_11,Bachelors,m,sourcing,1,34,4,7,0,0,42,N
Analytics,region_29,Bachelors,m,sourcing,2,30,5,5,1,0,84,N
Operations,region_15,Master & above,m,other,1,44,4,11,0,0,58,N
Sales & Marketing,region_4,Bachelors,m,other,1,49,3,5,0,0,48,N
Procurement,region_2,Bachelors,f,sourcing,1,53,3,19,0,0,73,N
Analytics,region_22,Master & above,m,other,2,34,4,3,0,0,82,N
Analytics,region_31,Bachelors,m,sourcing,1,26,5,2,1,1,86,Y
Sales & Marketing,region_13,Bachelors,f,sourcing,1,39,4,11,0,0,50,N
Technology,region_13,Master & above,f,other,1,42,3,9,0,0,80,N
Procurement,region_7,Bachelors,f,sourcing,1,36,3,3,0,0,69,N
Procurement,region_2,Bachelors,m,other,10,60,3,3,0,0,69,N
Analytics,region_2,Master & above,m,other,1,41,3,2,0,0,85,N
Finance,region_22,Bachelors,f,sourcing,1,26,1,3,0,0,61,N
Legal,region_34,Bachelors,m,other,1,30,3,3,0,0,60,N
Analytics,region_16,Bachelors,m,other,1,34,4,7,0,0,86,N
Procurement,region_20,Bachelors,m,other,1,31,3,2,0,0,82,Y
Technology,region_7,Bachelors,m,other,1,29,5,4,1,0,80,Y
Sales & Marketing,region_2,Bachelors,m,sourcing,1,30,4,6,0,0,48,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,32,4,7,0,0,51,N
Technology,region_31,Bachelors,m,other,2,32,3,6,0,0,80,N
Analytics,region_13,Master & above,m,sourcing,1,44,5,7,0,0,83,N
Operations,region_27,Bachelors,f,sourcing,2,35,5,7,0,0,57,N
HR,region_13,Bachelors,m,other,1,27,4,2,0,0,46,N
Technology,region_33,Bachelors,m,other,1,39,3,4,0,0,82,N
Operations,region_22,Master & above,f,sourcing,1,46,5,14,0,0,57,N
Technology,region_5,Bachelors,f,other,1,37,2,5,0,0,81,N
Technology,region_2,Master & above,m,other,2,37,3,8,0,0,81,N
Sales & Marketing,region_31,Bachelors,f,other,2,28,1,4,1,0,42,N
Operations,region_32,Master & above,m,sourcing,1,47,3,4,1,0,64,N
Sales & Marketing,region_22,Bachelors,f,sourcing,1,28,4,2,0,0,53,N
Operations,region_2,Master & above,m,sourcing,1,51,5,21,1,0,59,N
Sales & Marketing,region_33,Bachelors,m,other,1,43,5,10,1,0,48,Y
R&D,region_4,Bachelors,m,other,1,36,3,7,0,0,84,N
Operations,region_32,Bachelors,m,other,1,33,5,7,1,0,57,N
Sales & Marketing,region_2,Master & above,m,other,1,48,2,6,0,0,48,N
Procurement,region_2,Master & above,m,sourcing,1,39,3,7,1,0,66,Y
Sales & Marketing,region_2,Bachelors,m,other,1,32,4,4,0,0,47,N
Operations,region_13,Master & above,f,other,1,41,5,4,1,0,93,Y
Procurement,region_31,Bachelors,f,other,1,32,5,4,1,1,70,Y
Operations,region_19,Bachelors,m,other,1,42,3,6,0,0,61,N
Procurement,region_13,Bachelors,m,other,1,42,5,13,1,0,69,N
Operations,region_22,Master & above,m,referred,1,36,5,2,1,0,62,N
Operations,region_26,Bachelors,m,other,1,36,5,9,1,0,61,N
Sales & Marketing,region_34,Master & above,m,sourcing,1,37,3,7,0,0,45,N
Operations,region_15,Master & above,m,other,1,39,3,11,0,0,60,N
Sales & Marketing,region_25,Bachelors,m,other,1,39,5,3,1,0,48,N
Operations,region_23,Master & above,m,other,1,33,5,6,1,0,61,N
Analytics,region_15,Bachelors,m,other,1,29,4,9,0,0,85,N
Procurement,region_2,Bachelors,f,sourcing,2,38,4,3,1,1,70,N
Operations,region_22,Master & above,m,sourcing,2,36,5,7,1,0,65,N
Legal,region_20,Bachelors,m,other,1,32,3,5,0,0,56,N
Operations,region_26,Bachelors,m,sourcing,1,37,3,4,0,0,58,N
Sales & Marketing,region_27,Bachelors,m,sourcing,1,34,3,7,0,0,51,N
Finance,region_22,Bachelors,m,other,1,27,3,2,1,0,62,Y
Sales & Marketing,region_13,Bachelors,m,other,1,33,5,8,0,0,47,N
R&D,region_22,Bachelors,m,sourcing,3,33,3,5,0,0,86,N
Sales & Marketing,region_7,Bachelors,m,sourcing,1,31,5,4,1,0,46,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,37,4,9,0,0,49,N
Procurement,region_2,Bachelors,m,sourcing,1,59,4,27,0,0,72,N
Technology,region_27,Bachelors,f,sourcing,1,31,5,6,1,0,78,N
R&D,region_23,Master & above,m,other,1,36,1,7,0,0,86,N
Procurement,region_2,Bachelors,m,other,2,40,5,2,1,0,71,Y
Sales & Marketing,region_13,Master & above,m,other,1,42,4,15,1,0,48,N
Sales & Marketing,region_7,Master & above,m,other,1,44,3,4,0,0,49,N
Finance,region_2,Bachelors,m,other,2,29,4,3,0,0,56,N
Sales & Marketing,region_22,Bachelors,m,other,1,29,1,2,0,0,52,N
Sales & Marketing,region_29,Master & above,m,sourcing,1,40,3,7,0,0,49,N
Operations,region_22,Bachelors,f,other,2,32,4,3,1,0,60,N
Technology,region_7,Bachelors,m,sourcing,1,40,1,10,0,0,82,N
Procurement,region_16,Bachelors,m,other,1,29,5,2,1,0,68,N
Finance,region_7,Bachelors,m,sourcing,1,31,5,2,1,0,64,N
Technology,region_28,Bachelors,m,sourcing,1,39,1,9,0,0,79,N
Procurement,region_20,Bachelors,m,other,1,33,4,2,0,0,73,N
Technology,region_22,Bachelors,m,sourcing,1,34,4,6,0,0,77,N
Operations,region_16,Bachelors,f,sourcing,1,42,3,7,0,0,58,N
Analytics,region_28,Master & above,m,sourcing,2,33,5,7,1,0,88,N
Sales & Marketing,region_29,Bachelors,m,other,1,27,1,4,0,0,55,N
Technology,region_2,Master & above,f,sourcing,1,35,4,3,1,0,81,Y
Sales & Marketing,region_13,Bachelors,m,sourcing,1,37,4,10,0,0,50,N
Analytics,region_27,Bachelors,m,other,1,30,5,3,0,0,84,N
Analytics,region_26,Bachelors,m,sourcing,1,30,5,4,0,0,82,N
Sales & Marketing,region_22,Bachelors,f,sourcing,1,34,4,5,0,0,46,N
Finance,region_2,Bachelors,m,other,1,34,5,8,1,0,56,N
Procurement,region_13,Master & above,m,sourcing,1,44,5,5,1,0,71,N
Finance,region_2,Master & above,m,other,1,40,4,11,1,0,59,N
Analytics,region_22,Master & above,m,sourcing,1,42,3,13,0,0,87,N
Technology,region_17,Bachelors,f,other,1,26,4,4,1,0,75,N
Procurement,region_2,Bachelors,f,sourcing,1,33,2,5,0,0,70,N
Procurement,region_22,Master & above,f,other,1,43,3,6,0,0,67,N
Analytics,region_2,Bachelors,m,other,1,33,4,3,1,0,84,N
Analytics,region_31,Bachelors,m,other,1,43,3,3,1,0,85,N
Operations,region_6,Bachelors,m,sourcing,1,27,4,3,0,0,55,N
Sales & Marketing,region_31,Master & above,m,other,1,34,3,3,0,0,48,N
Sales & Marketing,region_32,Bachelors,f,sourcing,1,31,3,7,1,1,47,N
Sales & Marketing,region_4,Bachelors,m,other,1,32,2,7,0,0,55,N
Technology,region_23,Master & above,m,sourcing,1,34,3,4,0,0,80,N
Procurement,region_4,Bachelors,f,other,1,30,3,4,0,0,73,N
Sales & Marketing,region_29,Master & above,m,sourcing,1,34,4,3,1,0,49,N
Technology,region_7,Bachelors,f,sourcing,1,48,3,4,1,0,82,Y
Finance,region_7,Bachelors,m,other,1,29,4,4,0,0,62,N
Sales & Marketing,region_4,Master & above,m,sourcing,1,40,3,6,1,0,51,N
Technology,region_13,Bachelors,f,other,1,31,1,5,0,0,82,N
Sales & Marketing,region_17,Bachelors,m,other,1,40,3,6,1,0,51,N
Analytics,region_2,Master & above,m,other,1,50,3,6,1,0,83,N
Sales & Marketing,region_14,Bachelors,m,other,1,46,1,6,0,0,50,N
Technology,region_4,Bachelors,m,sourcing,1,35,3,4,0,0,82,N
Operations,region_2,Bachelors,f,other,1,34,1,7,0,0,63,N
Analytics,region_22,Master & above,m,sourcing,1,33,2,3,0,0,84,N
Technology,region_31,Bachelors,m,other,1,31,4,4,0,0,82,N
Finance,region_4,Master & above,f,other,1,34,5,7,1,0,53,N
Operations,region_2,Bachelors,f,other,1,45,5,5,1,0,58,N
Procurement,region_7,Bachelors,m,sourcing,1,42,5,5,1,0,77,N
Technology,region_2,Master & above,m,referred,1,42,3,14,0,0,80,N
Sales & Marketing,region_15,Bachelors,m,other,1,30,4,4,0,0,53,N
Operations,region_4,Bachelors,f,other,1,33,5,9,1,0,62,N
Technology,region_29,Bachelors,m,sourcing,1,30,1,4,0,0,82,N
Operations,region_15,Bachelors,m,other,1,40,3,6,1,0,61,N
Technology,region_23,Master & above,f,other,1,43,2,14,0,0,79,N
Sales & Marketing,region_22,Master & above,m,sourcing,1,37,2,5,0,0,49,N
Procurement,region_2,Bachelors,f,sourcing,1,37,3,7,0,0,69,N
Technology,region_7,Master & above,f,other,1,34,3,4,0,0,81,N
Operations,region_26,Bachelors,f,sourcing,1,38,4,3,0,0,59,N
Operations,region_14,Bachelors,f,other,1,35,2,9,0,0,59,N
Procurement,region_26,Bachelors,m,other,3,32,2,9,0,0,67,N
Sales & Marketing,region_16,Bachelors,m,referred,1,33,3,10,0,0,50,N
Operations,region_32,Master & above,f,other,1,38,5,10,0,0,61,N
Sales & Marketing,region_22,Bachelors,m,other,1,45,1,14,0,0,52,N
Operations,region_5,Bachelors,m,sourcing,1,31,3,3,0,0,62,N
Sales & Marketing,region_4,Master & above,m,sourcing,1,35,4,9,0,0,47,N
HR,region_29,Master & above,m,other,1,33,5,6,1,0,50,N
Sales & Marketing,region_22,Bachelors,f,other,1,30,4,9,0,0,48,N
Technology,region_27,Bachelors,m,sourcing,1,29,3,4,1,1,79,N
Analytics,region_2,Bachelors,m,other,2,35,3,9,1,0,92,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,36,4,4,1,0,48,N
Analytics,region_28,Master & above,m,sourcing,1,34,5,3,0,0,81,N
Sales & Marketing,region_13,Bachelors,m,sourcing,1,36,4,10,0,0,49,N
Procurement,region_17,Master & above,f,sourcing,1,41,3,7,0,0,63,N
Analytics,region_22,Bachelors,f,sourcing,1,27,4,3,0,0,78,N
Sales & Marketing,region_20,Master & above,m,other,1,31,4,7,0,0,47,N
Sales & Marketing,region_12,Bachelors,f,sourcing,1,31,3,6,0,0,48,N
Technology,region_2,Bachelors,m,sourcing,1,33,5,7,1,0,80,Y
Procurement,region_19,Bachelors,m,other,1,37,5,10,0,0,69,N
Technology,region_15,Bachelors,f,sourcing,1,30,1,6,0,0,79,N
Operations,region_13,Bachelors,m,sourcing,1,47,4,15,1,0,57,N
Technology,region_16,Bachelors,f,sourcing,1,31,3,3,0,0,84,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,33,5,7,1,0,46,N
R&D,region_2,Bachelors,m,sourcing,1,41,3,10,0,0,91,N
Sales & Marketing,region_2,Bachelors,m,other,3,44,3,6,0,0,51,N
Operations,region_17,Bachelors,f,other,1,26,4,3,1,0,57,N
Sales & Marketing,region_25,Bachelors,m,other,1,29,5,2,1,0,52,N
Operations,region_2,Master & above,f,sourcing,1,32,5,4,1,0,59,N
Procurement,region_31,Bachelors,m,sourcing,1,31,2,4,0,0,69,N
Technology,region_11,Bachelors,m,other,1,29,1,4,0,0,76,N
Technology,region_26,Master & above,m,sourcing,1,40,2,7,0,0,73,N
Analytics,region_25,Master & above,m,other,1,34,3,8,1,0,83,N
Operations,region_19,Bachelors,f,other,1,30,4,4,0,0,63,N
Technology,region_22,Bachelors,m,sourcing,2,35,4,9,1,0,92,Y
Finance,region_11,Bachelors,m,other,1,28,4,2,0,0,56,N
Operations,region_13,Bachelors,m,sourcing,1,33,5,9,1,0,59,N
Operations,region_15,Master & above,m,other,1,39,3,5,0,0,56,N
Sales & Marketing,region_28,Bachelors,f,sourcing,2,36,1,8,0,0,46,N
Finance,region_2,Bachelors,f,other,1,48,3,7,1,0,57,N
Technology,region_2,Bachelors,m,other,1,25,1,3,1,0,80,N
Sales & Marketing,region_2,Master & above,m,sourcing,1,43,2,3,0,0,45,N
Procurement,region_7,Master & above,m,other,1,40,4,6,0,0,67,N
Sales & Marketing,region_24,Bachelors,m,other,1,29,3,4,0,0,54,N
Technology,region_5,Bachelors,m,other,1,26,3,3,0,0,75,N
Technology,region_10,Master & above,f,other,1,36,2,6,0,0,79,N
Operations,region_8,Master & above,f,other,1,32,4,6,0,0,57,N
Procurement,region_12,Bachelors,m,sourcing,1,25,5,2,1,0,71,Y
Sales & Marketing,region_19,Bachelors,m,other,1,43,3,12,0,0,47,N
Sales & Marketing,region_24,Bachelors,m,other,1,41,3,14,0,0,56,N
Procurement,region_27,Bachelors,m,sourcing,1,43,3,13,0,0,73,N
Procurement,region_15,Bachelors,f,other,1,32,4,10,1,0,69,N
R&D,region_26,Bachelors,m,sourcing,1,36,3,7,0,0,86,N
Procurement,region_2,Bachelors,f,sourcing,2,46,3,15,0,0,69,N
Analytics,region_15,Master & above,m,other,1,31,3,6,1,1,86,N
Sales & Marketing,region_28,Master & above,m,sourcing,2,45,5,16,0,0,52,N
Operations,region_3,Master & above,m,other,1,37,5,8,1,0,61,N
Technology,region_6,Bachelors,m,sourcing,1,28,4,2,0,0,75,N
Sales & Marketing,region_2,Master & above,f,sourcing,2,36,3,7,0,0,48,N
Analytics,region_31,Bachelors,m,other,1,30,4,7,1,0,82,N
Sales & Marketing,region_27,Bachelors,m,other,1,41,4,11,0,0,47,N
Analytics,region_20,Bachelors,f,sourcing,1,28,3,2,1,0,81,N
Technology,region_15,Bachelors,m,other,1,27,4,2,1,0,81,Y
Sales & Marketing,region_2,Bachelors,m,referred,1,32,5,3,0,0,49,N
Operations,region_11,Bachelors,m,other,1,36,3,7,0,0,59,N
Finance,region_20,Bachelors,m,sourcing,1,28,3,4,0,0,59,N
Sales & Marketing,region_2,Bachelors,m,other,1,41,1,8,0,0,53,N
Sales & Marketing,region_10,Master & above,m,other,1,39,1,4,0,0,51,N
Operations,region_22,Master & above,m,referred,1,34,5,4,1,0,64,N
Sales & Marketing,region_2,Bachelors,f,other,1,31,3,5,0,0,51,N
Sales & Marketing,region_24,Bachelors,m,sourcing,1,39,3,7,0,0,46,N
Sales & Marketing,region_28,Master & above,m,sourcing,1,36,3,5,1,0,52,N
HR,region_7,Master & above,f,other,1,50,5,19,0,0,51,N
Operations,region_17,Bachelors,m,other,1,28,3,2,1,0,58,N
Operations,region_4,Master & above,m,other,1,34,3,10,1,0,64,N
Sales & Marketing,region_28,Master & above,m,other,1,34,1,8,0,0,48,N
Operations,region_2,Bachelors,f,other,1,36,4,3,0,0,58,N
Technology,region_7,Bachelors,f,sourcing,4,32,5,8,1,0,79,N
Finance,region_7,Bachelors,m,sourcing,1,29,4,4,0,0,59,N
Sales & Marketing,region_7,Master & above,f,other,1,41,4,17,0,0,52,N
Sales & Marketing,region_11,Bachelors,m,sourcing,1,29,3,3,1,0,47,Y
Sales & Marketing,region_27,Bachelors,m,sourcing,1,37,1,8,0,0,50,N
Procurement,region_2,Master & above,f,sourcing,1,39,3,8,0,1,81,Y
Analytics,region_13,Bachelors,m,sourcing,1,37,3,6,1,0,84,N
Sales & Marketing,region_16,Master & above,m,sourcing,1,41,1,14,0,0,52,N
Technology,region_31,Bachelors,f,sourcing,1,31,5,3,1,1,90,Y
Operations,region_15,Bachelors,f,sourcing,1,31,1,3,0,0,64,N
Operations,region_22,Master & above,m,other,1,36,4,9,0,0,62,N
Sales & Marketing,region_28,Bachelors,m,sourcing,1,32,3,6,0,0,50,N
Operations,region_23,Master & above,m,sourcing,3,34,4,5,1,0,58,N
Technology,region_10,Master & above,f,other,1,37,3,10,0,0,77,N
Operations,region_14,Bachelors,f,sourcing,2,39,3,9,1,0,60,N
Operations,region_15,Bachelors,m,sourcing,2,32,4,8,0,0,55,N
Analytics,region_15,Bachelors,m,other,2,40,3,7,0,0,81,N
Sales & Marketing,region_15,Bachelors,m,sourcing,1,39,1,7,1,1,48,N
Operations,region_6,Bachelors,f,sourcing,1,37,3,10,0,0,59,N
Analytics,region_22,Bachelors,m,other,2,27,3,2,1,0,80,Y
Technology,region_4,Bachelors,f,sourcing,2,27,2,2,1,0,82,N
Procurement,region_4,Bachelors,m,other,1,38,3,14,1,0,69,N
Sales & Marketing,region_2,Master & above,m,other,1,36,5,8,1,0,56,Y
Procurement,region_8,Bachelors,m,sourcing,1,30,4,2,1,0,71,N
Analytics,region_19,Bachelors,m,other,1,41,4,3,1,0,85,N
HR,region_2,Bachelors,f,other,1,42,2,6,0,0,44,N
Analytics,region_34,Bachelors,m,other,3,33,2,4,0,0,82,N
Sales & Marketing,region_2,Master & above,m,sourcing,2,44,3,16,0,0,50,N
R&D,region_24,Master & above,m,other,1,31,1,3,0,0,92,N
Sales & Marketing,region_3,Master & above,m,other,1,38,3,6,0,0,48,N
Sales & Marketing,region_2,Bachelors,f,sourcing,1,44,5,4,1,0,51,Y
Sales & Marketing,region_4,Bachelors,m,sourcing,2,27,4,2,0,0,44,N
Operations,region_2,Bachelors,m,sourcing,1,53,5,14,1,0,63,Y
Sales & Marketing,region_2,Bachelors,f,sourcing,1,30,4,5,0,0,52,N
Sales & Marketing,region_7,Bachelors,m,other,1,42,3,12,1,0,48,N
Analytics,region_29,Bachelors,f,sourcing,1,32,3,2,0,0,86,N
Technology,region_8,Bachelors,f,other,1,32,3,4,0,0,81,N
Sales & Marketing,region_19,Master & above,m,other,1,40,5,12,1,0,48,N
Procurement,region_17,Master & above,f,sourcing,1,56,5,5,0,0,72,N
Operations,region_12,Bachelors,f,sourcing,2,30,5,4,1,0,62,N
Sales & Marketing,region_22,Bachelors,m,sourcing,1,27,3,2,0,0,66,Y
R&D,region_2,Bachelors,m,other,2,47,5,5,1,0,81,N
Analytics,region_20,Bachelors,m,other,1,28,3,2,0,0,85,N
Procurement,region_26,Bachelors,f,other,1,34,2,5,1,0,72,N
Procurement,region_2,Master & above,f,sourcing,1,40,3,7,0,0,68,N
Procurement,region_24,Bachelors,m,sourcing,1,29,3,3,1,0,68,N
Procurement,region_2,Bachelors,f,other,1,37,3,2,0,0,70,N
Sales & Marketing,region_28,Bachelors,m,other,1,31,3,6,0,0,49,N
Sales & Marketing,region_13,Bachelors,m,sourcing,1,32,4,5,1,0,46,Y
Sales & Marketing,region_2,Bachelors,m,other,1,26,3,3,0,0,52,N
Sales & Marketing,region_3,Bachelors,m,other,1,38,1,8,0,0,53,N
Sales & Marketing,region_2,Bachelors,m,sourcing,1,27,3,4,0,0,52,N
Sales & Marketing,region_15,Bachelors,m,other,1,38,1,10,0,0,47,N
Sales & Marketing,region_2,Bachelors,m,other,2,55,3,13,0,0,49,N
Sales & Marketing,region_4,Bachelors,m,sourcing,1,32,5,3,1,0,49,Y
R&D,region_2,Master & above,m,sourcing,1,42,5,2,1,0,85,N
Procurement,region_19,Bachelors,m,sourcing,1,40,1,6,0,0,67,N
Finance,region_4,Bachelors,m,sourcing,1,28,3,2,1,0,60,N
Operations,region_28,Bachelors,m,sourcing,1,34,1,5,1,0,60,N
Operations,region_7,Master & above,m,sourcing,1,43,2,5,0,0,57,N
Technology,region_13,Bachelors,m,other,1,51,3,22,0,0,81,N
Analytics,region_3,Bachelors,m,sourcing,1,30,3,3,1,0,88,Y
Operations,region_15,Master & above,m,other,1,47,5,7,1,0,56,N
Sales & Marketing,region_2,Master & above,m,other,1,33,3,3,1,0,52,N
Sales & Marketing,region_2,Bachelors,m,other,1,31,4,6,1,0,53,N
Sales & Marketing,region_7,Master & above,f,other,1,33,1,8,0,0,54,N
Procurement,region_22,Bachelors,m,other,1,25,3,2,0,0,65,N
Sales & Marketing,region_20,Bachelors,m,sourcing,1,33,3,6,1,0,52,N
Operations,region_8,Master & above,m,other,1,45,4,18,1,0,62,N
HR,region_7,Bachelors,f,other,1,30,4,2,0,0,48,N
Operations,region_1,Bachelors,m,other,1,31,4,3,1,0,62,Y
Procurement,region_22,Bachelors,m,other,1,29,5,2,1,0,73,N
Sales & Marketing,region_2,Bachelors,f,sourcing,2,57,1,13,0,0,50,N
Operations,region_13,Bachelors,f,other,1,31,5,4,1,0,56,N
Operations,region_22,Master & above,f,sourcing,1,48,3,3,1,0,62,N
Sales & Marketing,region_2,Master & above,f,other,2,47,3,11,0,0,44,N
Operations,region_2,Master & above,m,other,1,57,1,27,1,0,63,N
Operations,region_7,Master & above,f,other,1,33,5,5,1,0,59,N
Operations,region_13,Bachelors,m,other,1,36,3,9,1,1,58,N
Technology,region_6,Bachelors,f,other,1,30,3,2,0,0,83,Y
Procurement,region_15,Bachelors,f,other,1,30,3,4,0,0,70,N
Sales & Marketing,region_7,Bachelors,m,other,1,40,4,6,0,0,48,N
Procurement,region_2,Bachelors,m,sourcing,2,50,3,19,0,0,70,N
Sales & Marketing,region_27,Bachelors,m,sourcing,1,34,2,7,0,0,52,N
